Rank,Name,Server,Region,Date,Duration,ReportID,ReportLink,HPS,HasteSummary,HasteGear,Spirit,Intellect,TotalHealers,nDruid,nPaladin,nHPriest,nDPriest,nShaman,RaidDamageTakenPerSecond,VampiricTouch,InnervateCount,Bloodlust,NaturesGrace,Trinket1,Trinket2,LifebloomUptime,LifebloomHPS,LifebloomPercentHPS,RejuvenationHPS,RejuvenationPercentHPS,RegrowthHPS,RegrowthPercentHPS,Rotation1,Rotation1Percent,Rotation2,Rotation2Percent,TankRotationPercent,RotatingOnTank
13,Jasedruid,Benediction,US,2022-08-04 22:34:44,1m 19s,d18QGYDpCymZvMng,https://classic.warcraftlogs.com/reports/d18QGYDpCymZvMng?fight=20&source=14&type=healing,3075.6,347,347,574,660,6,1,1,1,1,2,16221.82,Yes,0,Yes,No,Direbrew Hops,Essence of the Martyr,96.74,815.38,26.51,179.99,5.85,1749.4,56.88,[1LB 1I 2RG],23.08,[1LB 0I 4RG],15.38,92.31,Yes
14,一包牛肉干,雷霆之击,CN,2022-06-14 08:51:18,1m 27s,GdkVLCWy2PthAFmb,https://classic.warcraftlogs.com/reports/GdkVLCWy2PthAFmb?fight=17&source=7&type=healing,3070.14,239,239,670,667,7,2,1,0,1,3,14529.06,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,17.05,154.15,5.02,13.64,0.44,2744.81,89.4,[0LB 0I 5RG],42.86,[0LB 1I 4RG],28.57,14.29,No
15,一杯马爹利,雷霆之击,CN,2022-08-16 08:01:29,1m 50s,rCXAfBknF7cqVhKt,https://classic.warcraftlogs.com/reports/rCXAfBknF7cqVhKt?fight=17&source=19&type=healing,3067.45,267,267,815,661,7,2,1,0,1,3,14302.54,Yes,1,Yes,Yes,Redeemer's Alchemist Stone,Essence of the Martyr,22.33,80.5,2.62,26.22,0.85,2874.03,93.69,[0LB 0I 5RG],55.56,[0LB 1I 4RG],16.67,16.67,No
16,嘚瑟小秋秋,奥罗,CN,2022-06-27 09:50:38,1m 21s,vYkbjyhdgTQrHp83,https://classic.warcraftlogs.com/reports/vYkbjyhdgTQrHp83?fight=47&source=9&type=healing,3057.72,146,146,663,627,6,1,1,0,1,3,15699.89,Yes,1,Yes,Yes,Essence of the Martyr,Tome of Diabolic Remedy,30.11,110.47,3.61,0,0.0,2649.38,86.65,[0LB 1I 4RG],33.33,[0LB 0I 5RG],33.33,25.0,No
17,卿丶小蛮,安娜丝塔丽,CN,2022-07-29 08:27:58,1m 15s,H6PnRBKgYX2p7jGm,https://classic.warcraftlogs.com/reports/H6PnRBKgYX2p7jGm?fight=23&source=6&type=healing,3047.53,363,363,662,644,6,1,1,0,1,3,16264.02,Yes,1,Yes,Yes,Redeemer's Alchemist Stone,Darkmoon Card: Blue Dragon,21.31,80.61,2.65,98.22,3.22,2815.69,92.39,[0LB 0I 5RG],69.23,[1LB 2I 2RG],7.69,15.38,No
18,柚彩,骨火,CN,2022-07-01 09:54:24,1m 31s,TgZj9JWdvHY7n6zc,https://classic.warcraftlogs.com/reports/TgZj9JWdvHY7n6zc?fight=26&source=21&type=healing,3044.69,270,270,761,636,7,1,1,1,1,3,13813.72,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,83.01,344.24,11.31,63.93,2.1,2283.66,75.0,[1LB 0I 2RG],11.11,[0LB 0I 4RG],11.11,61.11,No
19,假奶亮,巴罗夫,CN,2022-07-14 07:55:40,1m 11s,Q1NJKx3bjcmMHaBv,https://classic.warcraftlogs.com/reports/Q1NJKx3bjcmMHaBv?fight=12&source=11&type=healing,3043.22,313,313,741,653,5,1,0,1,0,3,15039.62,Yes,1,Yes,Yes,Direbrew Hops,Darkmoon Card: Blue Dragon,94.12,903.05,29.67,390.14,12.82,1498.44,49.24,[1LB 0I 1RG],20.0,[2LB 1I 2RG],13.33,93.33,Yes
20,财富顾问,席瓦莱恩,CN,2022-08-14 01:35:53,1m 3s,knrjNX3H1Z82DpWx,https://classic.warcraftlogs.com/reports/knrjNX3H1Z82DpWx?fight=19&source=3&type=healing,3036.58,269,269,737,667,5,1,1,1,0,2,16227.58,No,1,Yes,Yes,Memento of Tyrande,Scarab of the Infinite Cycle,87.2,644.43,21.22,283.42,9.33,1896.64,62.46,[1LB 0I 4RG],16.67,[2LB 1I 1RG],8.33,58.33,No
21,泻停封,巨人追猎者,CN,2022-07-22 09:15:05,0m 59s,7phPkCwAVRXzFZfn,https://classic.warcraftlogs.com/reports/7phPkCwAVRXzFZfn?fight=37&source=15&type=healing,3028.9,344,344,729,654,5,1,1,0,1,2,15283.65,Yes,1,Yes,Yes,Redeemer's Alchemist Stone,Memento of Tyrande,87.68,1063.53,35.11,182.19,6.02,1203.0,39.72,[2LB 4I 0RG],16.67,[2LB 0I 2RG],8.33,58.33,No
22,祭随,雷德,CN,2022-07-16 08:48:09,0m 59s,86XBcjtpgvACQDHr,https://classic.warcraftlogs.com/reports/86XBcjtpgvACQDHr?fight=37&source=33&type=healing,3024.12,387,387,756,633,5,1,1,0,1,2,13939.42,Yes,0,Yes,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,92.31,928.68,30.71,86.35,2.86,1746.08,57.74,[1LB 0I 3RG],27.27,[1LB 2I 2RG],27.27,81.82,Yes
23,Yikond,维希度斯,CN,2022-08-24 08:29:18,1m 32s,LbkFdXjA9Jt2ZyYB,https://classic.warcraftlogs.com/reports/LbkFdXjA9Jt2ZyYB?fight=23&source=1&type=healing,3021.88,312,312,683,669,6,1,1,0,1,3,15713.38,Yes,0,Yes,No,Redeemer's Alchemist Stone,Memento of Tyrande,12.97,77.51,2.56,55.23,1.83,2530.54,83.74,[0LB 1I 4RG],33.33,[0LB 0I 5RG],25.0,8.33,No
24,丨乱舞丨,席瓦莱恩,CN,2022-07-15 10:03:03,1m 0s,f1A6HWywcthNKL9v,https://classic.warcraftlogs.com/reports/f1A6HWywcthNKL9v?fight=36&source=14&type=healing,3016.82,292,292,662,665,5,1,1,1,0,2,14534.74,No,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,92.56,981.96,32.55,219.82,7.29,1770.82,58.7,[1LB 2I 3RG],20.0,[0LB 1I 1RG],10.0,90.0,Yes
25,小新小新,狮心,CN,2022-07-01 09:01:15,1m 31s,L4DCVByvP2zxKcdT,https://classic.warcraftlogs.com/reports/L4DCVByvP2zxKcdT?fight=16&source=16&type=healing,3001.94,289,289,853,662,6,1,1,1,1,2,14293.34,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,69.8,466.74,15.55,58.23,1.94,2187.95,72.88,[0LB 3I 2RG],12.5,[0LB 0I 5RG],12.5,43.75,No
26,正义伙伴,霜语,CN,2022-08-05 08:17:14,1m 21s,dmp3kRhbaCDxGAVy,https://classic.warcraftlogs.com/reports/dmp3kRhbaCDxGAVy?fight=29&source=11&type=healing,3001.94,364,364,726,667,6,1,1,1,1,2,16448.24,Yes,1,Yes,Yes,Darkmoon Card: Blue Dragon,Redeemer's Alchemist Stone,45.1,407.16,13.56,116.49,3.88,1944.95,64.79,[0LB 0I 5RG],23.08,[0LB 1I 4RG],15.38,23.08,No
27,守黑,秩序之源,CN,2022-08-12 02:28:54,1m 43s,2F6Rg7aNrcGpdCt9,https://classic.warcraftlogs.com/reports/2F6Rg7aNrcGpdCt9?fight=23&source=6&type=healing,2998.73,299,299,762,636,7,1,1,1,1,3,16376.31,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,18.88,31.54,1.05,0,0.0,2862.03,95.44,[0LB 0I 5RG],56.25,[0LB 1I 4RG],25.0,6.25,No
28,Stuuri,Gehennas,EU,2022-08-03 12:05:46,1m 12s,kJDAHxg9NWBaRTzw,https://classic.warcraftlogs.com/reports/kJDAHxg9NWBaRTzw?fight=12&source=10&type=healing,2996.66,245,245,713,652,6,1,1,0,1,3,16225.94,No,0,Yes,No,Essence of the Martyr,Memento of Tyrande,99.66,1604.91,53.56,1069.88,35.7,216.91,7.24,[2LB 4I 0RG],41.67,[2LB 3I 0RG],16.67,100.0,Yes
29,馒头挠耳朵,维克洛尔,CN,2022-06-09 08:12:08,1m 56s,7vR8JkmpBbdy9M2j,https://classic.warcraftlogs.com/reports/7vR8JkmpBbdy9M2j?fight=27&source=11&type=healing,2996.29,247,247,718,680,7,1,1,1,1,3,13853.02,Yes,1,Yes,No,Alchemist Stone,Bangle of Endless Blessings,23.55,119.34,3.98,133.91,4.47,2654.47,88.59,[0LB 0I 5RG],50.0,[0LB 0I 2RG],6.25,12.5,No
30,Kuzrakiihing,震地者,CN,2022-06-17 08:51:19,1m 3s,QJcxdw3CAhbmNGLR,https://classic.warcraftlogs.com/reports/QJcxdw3CAhbmNGLR?fight=32&source=4&type=healing,2995.65,156,156,910,653,6,1,1,0,1,3,16257.89,Yes,0,Yes,Yes,Redeemer's Alchemist Stone,Memento of Tyrande,11.07,52.8,1.76,81.05,2.71,2575.87,85.99,[0LB 0I 5RG],55.56,[0LB 1I 2RG],11.11,11.11,No
31,伊悔,辛洛斯,CN,2022-07-16 08:40:14,1m 25s,BAjnmGFXbavhNRzf,https://classic.warcraftlogs.com/reports/BAjnmGFXbavhNRzf?fight=39&source=34&type=healing,2992.01,242,242,757,674,6,1,1,1,1,2,14414.55,Yes,1,Yes,Yes,Essence of the Martyr,Memento of Tyrande,21.45,180.53,6.03,93.02,3.11,2598.35,86.84,[0LB 0I 5RG],46.15,[0LB 1I 4RG],23.08,15.38,No
32,糖糖哒唔,匕首岭,CN,2022-08-18 01:51:55,1m 6s,PkgvnpHTxQdK7aYG,https://classic.warcraftlogs.com/reports/PkgvnpHTxQdK7aYG?fight=27&source=12&type=healing,2989.7,494,494,717,667,5,1,1,1,0,2,15224.0,Yes,1,Yes,Yes,The Skull of Gul'dan,Redeemer's Alchemist Stone,98.08,639.25,21.38,134.67,4.5,1956.85,65.45,[1LB 0I 3RG],23.08,[1LB 1I 3RG],23.08,92.31,Yes
33,小母牛回家,维克洛尔,CN,2022-07-27 10:21:31,1m 56s,Fnf2CwYH918DAGBa,https://classic.warcraftlogs.com/reports/Fnf2CwYH918DAGBa?fight=80&source=104&type=healing,2988.92,170,170,709,674,7,1,1,1,1,3,14805.02,Yes,1,Yes,Yes,Direbrew Hops,Memento of Tyrande,90.36,663.12,22.19,336.42,11.26,1866.08,62.43,[1LB 0I 3RG],20.0,[1LB 1I 1RG],15.0,90.0,Yes
34,左右妈咪,怒炉,CN,2022-08-04 07:48:24,1m 29s,Z3WJ7nXYdvhjCpPk,https://classic.warcraftlogs.com/reports/Z3WJ7nXYdvhjCpPk?fight=87&source=383&type=healing,2987.08,196,196,776,672,7,1,1,1,1,3,18122.03,Yes,1,Yes,Yes,Essence of the Martyr,Memento of Tyrande,60.67,221.46,7.41,180.32,6.04,2327.44,77.92,[0LB 1I 4RG],21.43,[0LB 0I 5RG],14.29,21.43,No
35,陶江虎,奥罗,CN,2022-06-25 07:20:51,1m 25s,FfVR78vacGjDhqNW,https://classic.warcraftlogs.com/reports/FfVR78vacGjDhqNW?fight=24&source=38&type=healing,2978.69,237,237,737,696,6,1,1,0,2,2,15177.64,No,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,12.84,34.69,1.16,77.76,2.61,2698.42,90.59,[0LB 1I 4RG],41.67,[0LB 0I 5RG],33.33,8.33,No
36,奶奶疼丶,怒炉,CN,2022-08-14 08:01:25,1m 31s,2BQpb9zgqaA1CcNG,https://classic.warcraftlogs.com/reports/2BQpb9zgqaA1CcNG?fight=12&source=4&type=healing,2978.59,322,322,765,672,7,1,1,1,1,3,16113.06,Yes,1,Yes,Yes,Redeemer's Alchemist Stone,Darkmoon Card: Blue Dragon,47.36,220.45,7.4,0,0.0,2501.86,83.99,[0LB 0I 5RG],43.75,[0LB 3I 2RG],12.5,18.75,No
37,Magwar,Grobbulus,US,2022-06-14 23:59:15,1m 34s,wLnCaNBkKH47YWzP,https://classic.warcraftlogs.com/reports/wLnCaNBkKH47YWzP?fight=34&source=5&type=healing,2973.7,127,127,635,613,6,1,1,1,0,3,14377.05,No,0,Yes,No,Redeemer's Alchemist Stone,Memento of Tyrande,98.96,2114.64,71.11,401.27,13.49,452.8,15.23,[3LB 0I 1RG],50.0,[3LB 2I 0RG],25.0,100.0,Yes
38,大气乱自,狂野之刃,CN,2022-07-07 01:43:15,1m 22s,vzN9ZFPyR68QrCgJ,https://classic.warcraftlogs.com/reports/vzN9ZFPyR68QrCgJ?fight=21&source=33&type=healing,2971.37,247,247,717,624,6,1,1,0,1,3,15805.34,Yes,1,Yes,Yes,Alchemist Stone,Memento of Tyrande,8.54,9.06,0.3,0,0.0,2761.32,92.93,[0LB 0I 5RG],50.0,[0LB 1I 4RG],41.67,8.33,No
39,月波清霁,法尔班克斯,CN,2022-08-11 08:09:59,1m 8s,PQJ43wLZx1zDjHaN,https://classic.warcraftlogs.com/reports/PQJ43wLZx1zDjHaN?fight=21&source=17&type=healing,2969.69,310,310,904,658,5,1,1,0,1,2,14533.35,No,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,92.96,561.92,18.92,182.44,6.14,2088.78,70.34,[1LB 1I 2RG],23.08,[1LB 0I 4RG],15.38,84.62,Yes
40,시간을달리는소,로크홀라,KR,2022-08-07 01:43:07,1m 5s,Zhb2z9GDwtqMJnWR,https://classic.warcraftlogs.com/reports/Zhb2z9GDwtqMJnWR?fight=34&source=30&type=healing,2969.54,213,213,518,567,6,1,1,0,1,3,16024.05,Yes,1,Yes,Yes,Direbrew Hops,Essence of the Martyr,50.68,404.77,13.63,210.09,7.07,2109.44,71.04,[0LB 0I 5RG],18.18,[0LB 2I 3RG],18.18,36.36,No
41,北裂境的寒风,维希度斯,CN,2022-08-12 07:51:12,1m 13s,a46rkVJ3gMRB7FYt,https://classic.warcraftlogs.com/reports/a46rkVJ3gMRB7FYt?fight=13&source=18&type=healing,2969.04,343,343,767,679,6,1,1,1,1,2,15083.74,Yes,1,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,69.4,287.82,9.69,21.23,0.72,2427.45,81.76,[0LB 0I 3RG],23.08,[0LB 2I 3RG],15.38,46.15,No
42,Faya,布鲁,CN,2022-08-07 07:26:20,1m 27s,R9NwL62mjYhMVdWf,https://classic.warcraftlogs.com/reports/R9NwL62mjYhMVdWf?fight=18&source=48&type=healing,2961.75,387,387,777,696,6,1,1,0,1,3,15758.75,Yes,0,Yes,No,Memento of Tyrande,Redeemer's Alchemist Stone,75.6,350.47,11.83,1155.91,39.03,1180.86,39.87,[0LB 4I 1RG],21.43,[0LB 2I 1RG],7.14,57.14,No
43,牛德要不得,埃提耶什,CN,2022-08-19 23:39:22,1m 46s,CnHcdmqwGL7Dpr1V,https://classic.warcraftlogs.com/reports/CnHcdmqwGL7Dpr1V?fight=33&source=14&type=healing,2959.81,392,392,640,643,6,1,1,1,0,3,15239.51,No,1,Yes,No,Glimmering Naaru Sliver,Redeemer's Alchemist Stone,95.83,802.92,27.13,415.31,14.03,1438.31,48.59,[1LB 1I 1RG],23.81,[1LB 1I 2RG],19.05,95.24,Yes
44,喵步轻悄,狮心,CN,2022-08-19 08:44:32,1m 12s,RL8wXNP96abH3CJx,https://classic.warcraftlogs.com/reports/RL8wXNP96abH3CJx?fight=21&source=8&type=healing,2956.5,253,253,631,667,6,1,1,2,0,2,15120.76,No,0,Yes,No,Memento of Tyrande,Redeemer's Alchemist Stone,61.46,281.5,9.52,252.68,8.55,2151.49,72.77,[0LB 1I 4RG],16.67,[2LB 0I 1RG],8.33,58.33,No
45,灬七丶夜灬,灵风,CN,2022-07-14 01:01:28,1m 20s,BJQ7WZtkLDY3yAh6,https://classic.warcraftlogs.com/reports/BJQ7WZtkLDY3yAh6?fight=25&source=263&type=healing,2955.12,177,177,843,646,6,1,1,0,1,3,15848.1,Yes,1,Yes,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,41.3,176.42,5.97,617.15,20.88,1986.95,67.24,[0LB 1I 2RG],15.38,[0LB 1I 4RG],15.38,23.08,No
46,变身不变心,席瓦莱恩,CN,2022-08-17 01:00:00,1m 27s,tA8DX6gF4LCnHzdr,https://classic.warcraftlogs.com/reports/tA8DX6gF4LCnHzdr?fight=16&source=6&type=healing,2954.64,342,342,492,652,7,1,2,2,0,2,15418.49,Yes,1,Yes,Yes,Essence of the Martyr,Memento of Tyrande,95.25,726.43,24.59,294.86,9.98,1817.5,61.51,[0LB 0I 1RG],16.67,[1LB 1I 2RG],16.67,72.22,Yes
47,七洛,祈福,CN,2022-08-21 00:27:08,1m 17s,NjJk3zhFYynmgCHr,https://classic.warcraftlogs.com/reports/NjJk3zhFYynmgCHr?fight=21&source=13&type=healing,2948.18,294,294,665,712,6,1,1,0,1,3,15333.89,Yes,0,Yes,Yes,Memento of Tyrande,Glimmering Naaru Sliver,36.33,304.54,10.33,297.46,10.09,2206.66,74.85,[0LB 1I 4RG],33.33,[0LB 0I 5RG],16.67,8.33,No
48,Kukhuvet,Gehennas,EU,2022-07-21 14:06:58,1m 4s,RX2xPC7aW48Fpt1n,https://classic.warcraftlogs.com/reports/RX2xPC7aW48Fpt1n?fight=30&source=19&type=healing,2946.15,288,288,666,684,5,1,1,1,1,1,15513.64,No,0,Yes,No,Essence of the Martyr,Direbrew Hops,99.36,1561.71,53.01,121.72,4.13,1262.72,42.86,[3LB 0I 2RG],40.0,[3LB 1I 1RG],30.0,100.0,Yes
49,Celi,黑曜石之锋,CN,2022-08-02 08:05:52,1m 17s,r1VDMzyWx98Twtph,https://classic.warcraftlogs.com/reports/r1VDMzyWx98Twtph?fight=18&source=18&type=healing,2943.84,349,349,861,672,6,1,1,1,1,2,15435.97,Yes,0,No,Yes,Redeemer's Alchemist Stone,Essence of the Martyr,99.35,895.26,30.41,194.51,6.61,1668.05,56.66,[1LB 0I 2RG],20.0,[1LB 1I 2RG],20.0,86.67,Yes
50,抓住小饼干,碧玉矿洞,CN,2022-06-19 07:40:57,1m 22s,Fam1jfCPczV8JKvn,https://classic.warcraftlogs.com/reports/Fam1jfCPczV8JKvn?fight=25&source=76&type=healing,2942.88,344,344,784,678,7,1,1,1,0,4,14311.1,Yes,0,Yes,Yes,Memento of Tyrande,Redeemer's Alchemist Stone,99.13,671.63,22.82,207.69,7.06,1847.37,62.77,[1LB 0I 3RG],22.22,[2LB 0I 0RG],11.11,94.44,Yes
51,荷西,寒脊山小径,CN,2022-07-21 23:00:54,1m 15s,VFBhMc3YLy74PHQm,https://classic.warcraftlogs.com/reports/VFBhMc3YLy74PHQm?fight=10&source=20&type=healing,2930.64,319,319,751,675,6,1,1,0,1,3,13880.21,Yes,1,Yes,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,40.86,219.09,7.48,0,0.0,2500.34,85.32,[0LB 0I 5RG],28.57,[0LB 1I 4RG],14.29,21.43,No
52,Iloveu,奥罗,CN,2022-07-25 02:58:31,1m 42s,g7qYjGR48mX6vQnF,https://classic.warcraftlogs.com/reports/g7qYjGR48mX6vQnF?fight=14&source=31&type=healing,2926.57,311,311,750,634,7,1,1,1,1,3,15667.68,Yes,1,Yes,Yes,Essence of the Martyr,Redeemer's Alchemist Stone,51.08,343.62,11.74,298.37,10.2,1904.2,65.07,[0LB 1I 4RG],26.67,[0LB 2I 3RG],13.33,33.33,No
53,无才便似德,觅心者,CN,2022-08-17 21:35:07,1m 38s,1DVvqYnZAg8Jwd2B,https://classic.warcraftlogs.com/reports/1DVvqYnZAg8Jwd2B?fight=18&source=20&type=healing,2925.97,207,207,767,677,7,1,1,1,1,3,15168.39,No,0,Yes,No,Redeemer's Alchemist Stone,Memento of Tyrande,99.34,1222.48,41.78,66.39,2.27,1576.08,53.87,[2LB 0I 3RG],37.5,[2LB 0I 2RG],31.25,100.0,Yes
54,我爱吃鸡翅膀,帕奇维克,CN,2022-07-08 10:10:07,1m 16s,rDaHmzpf4K2d7JF8,https://classic.warcraftlogs.com/reports/rDaHmzpf4K2d7JF8?fight=18&source=16&type=healing,2924.61,389,389,726,672,6,1,1,1,1,2,14768.98,Yes,0,Yes,Yes,Redeemer's Alchemist Stone,Darkmoon Card: Blue Dragon,74.48,315.25,10.78,47.49,1.62,2348.79,80.31,[0LB 2I 3RG],30.77,[0LB 0I 5RG],15.38,38.46,No
55,尛司,怒炉,CN,2022-06-25 07:52:23,1m 45s,16wtAmvC3GNLBQR7,https://classic.warcraftlogs.com/reports/16wtAmvC3GNLBQR7?fight=10&source=3&type=healing,2924.43,347,347,685,649,7,1,1,1,1,3,15987.81,No,1,Yes,Yes,Direbrew Hops,Redeemer's Alchemist Stone,79.18,659.72,22.56,28.65,0.98,1945.31,66.52,[0LB 0I 4RG],17.65,[1LB 2I 2RG],11.76,52.94,No
56,豌豆晓德,霜语,CN,2022-07-22 10:36:14,1m 32s,j2Ywt8kmP17ZHVzb,https://classic.warcraftlogs.com/reports/j2Ywt8kmP17ZHVzb?fight=10&source=20&type=healing,2923.13,269,269,805,663,7,1,1,1,1,3,17231.85,Yes,1,Yes,Yes,Essence of the Martyr,Glimmering Naaru Sliver,94.87,951.84,32.56,276.93,9.47,1296.38,44.35,[1LB 2I 0RG],15.0,[1LB 2I 1RG],15.0,90.0,Yes
